"Category","Keywords"
"Ionic Developer","ionic,angular,react,vue,typescript,javascript,capacitor,cordova,android,ios,rest api,sqlite,pwa"
"Xamarin Developer","xamarin,c#,.net,mvvm,rest api,android,ios,sqlite,azure,microsoft"
"Python Developer","python,django,flask,fastapi,sqlalchemy,celery,redis,postgresql,rest api,graphql,pytest,docker,aws,pandas,numpy"
"Java Developer","java,spring boot,spring,hibernate,jpa,maven,gradle,junit,mockito,postgresql,mysql,rest api,docker,kubernetes,microservices"
"Go Developer","go,golang,gin,echo,fiber,gorm,postgresql,redis,grpc,rest api,docker,kubernetes,prometheus,testing"
"Rust Developer","rust,tokio,actix,axum,serde,sqlx,postgresql,redis,grpc,rest api,docker,wasm,unsafe"
"C# Developer","c#,.net,.net core,asp.net,entity framework,linq,sql server,azure,rest api,unit testing,nunit,xunit,dependency injection,microservices"
"PHP Developer","php,laravel,symfony,composer,mysql,postgresql,rest api,html,css,javascript,docker,redis,queue,testing"
"Ruby Developer","ruby,rails,ruby on rails,rspec,sidekiq,postgresql,redis,rest api,graphql,docker,heroku,hotwire,turbo"
"Node.js Developer","node.js,typescript,express,nestjs,fastify,graphql,rest api,postgresql,mongodb,redis,kafka,docker,jest,prisma,typeorm"
"Django Developer","django,python,django rest framework,celery,redis,postgresql,docker,pytest,graphql,authentication,authorization"
"Spring Boot Developer","spring boot,java,spring security,spring data,jpa,hibernate,maven,gradle,junit,postgresql,mysql,docker,rest api,microservices"
"Data Scientist","python,pandas,numpy,scipy,sklearn,matplotlib,seaborn,plotly,tableau,power bi,sql,machine learning,xgboost,random forest,statistical analysis,a/b testing,hypothesis testing,feature engineering,jupyter,time series"
"Machine Learning Engineer","python,pytorch,tensorflow,keras,huggingface,transformers,bert,gpt,llm,fine tuning,mlflow,wandb,docker,kubernetes,model deployment,model serving,onnx,triton,data pipeline,feature engineering"
"Deep Learning Engineer","pytorch,tensorflow,cuda,gpu training,cnn,rnn,lstm,transformer,attention,neural network,distributed training,mixed precision,flash attention,computer vision,nlp"
"NLP Engineer","nlp,pytorch,huggingface,transformers,bert,gpt,t5,roberta,spacy,nltk,text classification,sentiment analysis,ner,question answering,summarization,langchain,rag,embeddings"
"Computer Vision Engineer","opencv,pytorch,tensorflow,yolo,yolov8,faster rcnn,image classification,object detection,semantic segmentation,pose estimation,stable diffusion,clip,point cloud,roboflow"
"Data Engineer","apache spark,pyspark,apache kafka,apache airflow,prefect,dagster,dbt,sql,python,bigquery,snowflake,redshift,databricks,delta lake,etl,data pipeline,data warehouse,data lake,streaming"
"MLOps Engineer","mlflow,kubeflow,sagemaker,vertex ai,docker,kubernetes,terraform,github actions,dbt,model serving,monitoring,prometheus,grafana,feature store,wandb,ci/cd"
"AI Research Scientist","pytorch,jax,huggingface,transformers,llm,gpt,bert,fine tuning,rlhf,alignment,arxiv,publications,deep learning,nlp,computer vision,distributed training"
"Data Architect","data modeling,star schema,dimensional modeling,data warehouse,data lake,data governance,data catalog,data lineage,dbt,sql,bigquery,snowflake,metadata management,erp"
"Big Data Developer","apache spark,pyspark,hadoop,hive,hdfs,kafka,flink,bigquery,scala,java,python,delta lake,data pipeline,etl,streaming,batch processing"
"BI Developer","power bi,tableau,looker,qlik,metabase,sql,dbt,star schema,dimensional modeling,etl,data warehouse,kpi,dashboard,reporting"
"Data Product Manager","data product,roadmap,data strategy,sql,analytics,stakeholder management,okr,kpi,data governance,privacy,compliance,product analytics"
"AI Product Manager","ai product,llm,generative ai,product strategy,roadmap,user research,a/b testing,stakeholder management,go-to-market,ethics,responsible ai"
"DevOps Engineer","docker,kubernetes,helm,terraform,ansible,jenkins,github actions,gitlab ci,argocd,aws,gcp,azure,linux,bash,prometheus,grafana,elk,ci/cd,gitops,infrastructure as code"
"Cloud Architect","aws,azure,gcp,terraform,pulumi,serverless,kubernetes,docker,microservices,vpc,iam,cloudformation,cdk,well-architected,cost optimization,high availability,disaster recovery"
"AWS Cloud Engineer","aws,ec2,s3,rds,lambda,ecs,eks,cloudformation,cdk,vpc,iam,cloudfront,route53,dynamodb,sqs,sns,kinesis,terraform"
"GCP Cloud Engineer","gcp,compute engine,cloud storage,cloud run,gke,cloud functions,bigquery,pubsub,cloud sql,vpc,iam,terraform,ansible"
"Azure Cloud Engineer","azure,virtual machines,blob storage,azure functions,aks,azure devops,arm templates,bicep,azure ad,azure sql,cosmosdb,service bus,terraform"
"Site Reliability Engineer","kubernetes,prometheus,grafana,alertmanager,pagerduty,slo,sla,sli,error budget,distributed tracing,opentelemetry,elk,python,go,bash,terraform,docker,ci/cd,incident management"
"Platform Engineer","kubernetes,terraform,helm,argocd,backstage,internal developer platform,ci/cd,github actions,docker,prometheus,grafana,vault,crossplane"
"Infrastructure Engineer","terraform,ansible,linux,aws,gcp,azure,kubernetes,docker,bash,python,networking,dns,ssl,load balancer,vpn,firewalls"
"Cloud Security Engineer","aws security,gcp security,azure security,iam,rbac,cspm,container security,trivy,snyk,opa,falco,devsecops,compliance,soc2,iso 27001,vault,kms"
"DevSecOps Engineer","devsecops,sast,dast,sonarqube,snyk,trivy,opa,gatekeeper,falco,secrets management,vault,github actions,kubernetes security,sbom,supply chain security"
"Kubernetes Engineer","kubernetes,k8s,helm,kustomize,istio,service mesh,operator,crd,rbac,network policy,pod security,resource management,horizontal pod autoscaler,prometheus,grafana"
"Terraform Engineer","terraform,hcl,aws,gcp,azure,modules,state management,remote backend,terraform cloud,terragrunt,packer,ansible,ci/cd,infrastructure as code"
"Database Administrator","postgresql,mysql,oracle,sql server,aurora,indexing,query optimization,replication,partitioning,sharding,backup,pitr,connection pooling,performance tuning,stored procedure,dba"
"PostgreSQL DBA","postgresql,psql,pg_stat,explain analyze,indexing,replication,logical replication,pgbouncer,high availability,patroni,pgbackrest,vacuum,statistics"
"MongoDB DBA","mongodb,replica set,sharding,aggregation pipeline,indexing,atlas,compass,ops manager,backup,performance,wiredtiger"
"Redis Engineer","redis,redis cluster,redis sentinel,pub/sub,lua scripting,caching,session,rate limiting,leaderboard,geospatial,streams,redis enterprise"
"Elasticsearch Engineer","elasticsearch,kibana,logstash,fluentd,beats,index,mapping,query dsl,aggregation,snapshot,ilm,security,cluster management"
"Cassandra Engineer","cassandra,cql,cassandra query language,partition key,clustering key,replication,consistency,compaction,performance,datastax"
"Cybersecurity Analyst","siem,splunk,qradar,vulnerability scanning,nessus,incident response,threat hunting,malware analysis,owasp,iso 27001,nist,gdpr,pci dss,soc operations,python,bash"
"Penetration Tester","kali linux,nmap,metasploit,burp suite,hashcat,mimikatz,bloodhound,owasp top 10,sql injection,xss,red team,exploit,post exploitation,active directory,cve,bug bounty"
"Security Architect","zero trust,iam,pki,ssl/tls,encryption,firewall,waf,siem,identity management,sso,saml,oauth2,mfa,devsecops,threat modeling,nist,iso 27001,risk management"
"Security Operations Center Analyst","soc,siem,splunk,threat intelligence,ioc,ttp,mitre att&ck,incident response,threat hunting,malware analysis,forensics,playbook,alert triage"
"Application Security Engineer","appsec,sast,dast,code review,owasp,sql injection,xss,csrf,ssrf,secure sdlc,threat modeling,penetration testing,bug bounty,semgrep,sonarqube"
"Digital Forensics Analyst","digital forensics,memory forensics,disk imaging,encase,ftk,autopsy,volatility,malware analysis,reverse engineering,incident response,chain of custody,yara"
"GRC Analyst","governance risk compliance,iso 27001,soc2,nist csf,gdpr,hipaa,pci dss,risk assessment,audit,policy,procedure,vendor risk,third party risk"
"Threat Intelligence Analyst","threat intelligence,cti,ioc,ttp,mitre att&ck,dark web,osint,malware analysis,threat actor,campaign,attribution,reporting,splunk,siem"
"IAM Engineer","identity access management,iam,okta,azure ad,active directory,sso,saml,oauth2,openid connect,mfa,privileged access management,pam,rbac,ldap,scim"
"Cloud Security Architect","cloud security architecture,aws security,zero trust,iam,cspm,cnapp,sase,micro-segmentation,devsecops,compliance,soc2,fedramp,iso 27001"
"QA Automation Engineer","selenium,playwright,cypress,appium,pytest,junit,testng,rest assured,k6,jmeter,bdd,cucumber,ci/cd,jenkins,page object model,api testing,mobile testing"
"QA Engineer","manual testing,test cases,test plan,test strategy,bug tracking,jira,exploratory testing,regression,smoke testing,uat,defect lifecycle,api testing,postman"
"Performance Engineer","jmeter,gatling,k6,locust,load testing,stress testing,performance testing,apm,new relic,datadog,profiling,bottleneck,scalability,benchmarking"
"Test Lead","test strategy,test planning,team leadership,qa process,test automation,metrics,defect management,risk based testing,agile,scrum,stakeholder management"
"SDET","software development engineer in test,automation,java,python,selenium,rest assured,junit,testng,ci/cd,api testing,code review,system testing"
"Embedded Systems Engineer","c,c++,rtos,freertos,zephyr,arm cortex,stm32,esp32,arduino,uart,spi,i2c,can bus,embedded linux,yocto,buildroot,jtag,firmware,bootloader"
"Firmware Engineer","c,c++,firmware,bare metal,rtos,freertos,bootloader,device driver,uart,spi,i2c,linux kernel,yocto,u-boot,secure boot,ota,mqtt,ble"
"FPGA Engineer","vhdl,verilog,systemverilog,fpga,xilinx,intel altera,vivado,quartus,timing analysis,simulation,modelsim,digital design,rtl,synthesis"
"Hardware Engineer","circuit design,pcb,altium,kicad,eagle,spice,ltspice,oscilloscope,logic analyzer,power electronics,analog design,digital design,signal integrity"
"IoT Engineer","iot,mqtt,coap,lorawan,ble,zigbee,matter,thread,aws iot,azure iot,gcp iot,embedded,rtos,freertos,c,python,edge computing,cloud"
"VLSI Engineer","vlsi,digital design,verilog,vhdl,systemverilog,asic,synthesis,place and route,timing closure,dft,functional verification,uvm,cadence,synopsys"
"UI/UX Designer","figma,sketch,adobe xd,wireframing,prototyping,user research,usability testing,design thinking,design sprint,information architecture,accessibility,wcag,design system,component library,motion design"
"Product Designer","product design,ux,ui,figma,wireframing,prototyping,user research,design thinking,design system,component library,accessibility,data informed,a/b testing,cross functional"
"UX Researcher","user research,usability testing,contextual inquiry,interviews,surveys,card sorting,tree testing,think aloud,eye tracking,heatmap,persona,journey mapping,empathy,synthesis"
"UX Writer","ux writing,content design,microcopy,information architecture,style guide,voice and tone,accessibility,figma,design system,user research,a/b testing,localization"
"Interaction Designer","interaction design,hci,wireframing,prototyping,user flow,information architecture,animation,micro interaction,accessibility,figma,framer,principle,protopie"
"Visual Designer","visual design,brand identity,typography,color theory,layout,grid,figma,sketch,adobe suite,motion graphics,illustration,icon design,design system"
"Motion Designer","motion design,after effects,premiere,cinema 4d,blender,lottie,animation,storyboard,sound design,3d animation,compositing,video production"
"Brand Designer","brand identity,logo design,typography,color theory,style guide,adobe illustrator,photoshop,brand strategy,brand guidelines,print,packaging,presentation"
"Blockchain Developer","solidity,ethereum,evm,smart contract,web3,ethers.js,hardhat,truffle,foundry,defi,nft,erc20,erc721,openzeppelin,ipfs,layer 2,polygon,chainlink"
"Smart Contract Auditor","solidity,smart contract,security audit,reentrancy,flash loan,access control,overflow,owasp,slither,mythril,echidna,certora,formal verification"
"DeFi Developer","defi,solidity,ethereum,uniswap,aave,compound,curve,yield farming,liquidity,amm,automated market maker,flash loan,mev,layer 2,cross chain"
"Web3 Developer","web3,solidity,ethers.js,web3.js,ipfs,the graph,hardhat,wagmi,rainbowkit,next.js,typescript,smart contract,nft,dao,tokenomics"
"AR/VR Developer","unity,unreal engine,openxr,steamvr,meta quest,spatial computing,c#,c++,shaders,hand tracking,haptics,webxr,arkit,arcore"
"Game Developer","unity,unreal engine,c#,c++,game mechanics,physics,animation,shader,graphics,multiplayer,networking,steamworks,performance optimization,game loop"
"Game Designer","unity,unreal,game mechanics,level design,player experience,narrative design,balancing,prototyping,gdd,game design document,user testing"
"3D Artist","blender,maya,3ds max,zbrush,substance painter,photoshop,uv mapping,texturing,rigging,animation,rendering,vray,arnold,pbr,game assets"
"Technical Artist","unity,unreal,shaders,hlsl,glsl,vfx,particle systems,rigging,python,mel,houdini,performance optimization,pipeline,tool development"
"Prompt Engineer","prompt engineering,langchain,llamaindex,openai api,gpt-4,claude,gemini,rag,retrieval augmented generation,embeddings,vector database,function calling,agents,evaluation"
"LLM Engineer","llm,large language model,fine tuning,lora,qlora,peft,rlhf,pytorch,huggingface,transformers,langchain,llamaindex,rag,vector database,evaluation"
"AI Engineer","llm,generative ai,langchain,llamaindex,openai api,rag,embeddings,vector database,python,pytorch,fastapi,docker,kubernetes,agents,function calling"
"Generative AI Engineer","stable diffusion,diffusion models,gan,vae,comfyui,controlnet,lora training,dreambooth,huggingface,pytorch,clip,dalle,midjourney api"
"AI Safety Researcher","ai safety,alignment,interpretability,mechanistic interpretability,rlhf,constitutional ai,red teaming,evaluation,probing,llm,pytorch,huggingface,arxiv"
"Product Manager","product strategy,roadmap,user stories,backlog,okr,kpi,a/b testing,product analytics,go-to-market,agile,scrum,stakeholder management,prd,figma,amplitude,mixpanel,sql"
"Technical Product Manager","product management,technical requirements,api,system design,sql,data analysis,engineering collaboration,roadmap,user stories,agile,jira,stakeholder management"
"Product Owner","product owner,backlog,user stories,acceptance criteria,sprint planning,definition of done,agile,scrum,stakeholder,prioritization,jira,confluence"
"Scrum Master","scrum,sprint planning,retrospective,daily standup,backlog refinement,kanban,agile coaching,impediment removal,jira,confluence,safe,scaled agile"
"Agile Coach","agile,scrum,kanban,safe,less,nexus,coaching,facilitation,training,organizational transformation,team dynamics,continuous improvement,lean"
"Project Manager","pmp,agile,scrum,waterfall,risk management,budget,stakeholder management,jira,ms project,gantt,milestone,resource management,change management"
"Program Manager","program management,portfolio,roadmap,risk management,stakeholder management,budget,executive communication,okr,cross functional,change management"
"Business Analyst","requirements gathering,uml,bpmn,use cases,gap analysis,user stories,acceptance criteria,sql,tableau,power bi,stakeholder management,uat"
"Systems Analyst","systems analysis,requirements,uml,use cases,data flow diagram,sql,integration,api,uat,stakeholder management,documentation,process modeling"
"Technical Project Manager","technical project management,engineering,architecture,risk management,stakeholder management,agile,scrum,jira,budget,delivery,metrics"
"Technical Writer","documentation,api docs,swagger,openapi,markdown,confluence,github,user guides,readme,style guide,docs as code,screencasts,tutorials"
"Solutions Architect","solution design,system architecture,aws,gcp,azure,microservices,api design,event driven,kafka,terraform,docker,kubernetes,scalability,presales"
"Enterprise Architect","enterprise architecture,togaf,zachman,business architecture,application architecture,data architecture,technology architecture,roadmap,strategy"
"Integration Architect","integration,api,rest,soap,graphql,esb,mulesoft,dell boomi,kafka,rabbitmq,event driven,middleware,microservices,etl,enterprise integration patterns"
"Data Solutions Architect","data architecture,data warehouse,data lake,data lakehouse,databricks,snowflake,bigquery,dbt,data governance,data catalog,metadata,erp"
"Data Analyst","sql,python,pandas,tableau,power bi,looker,google analytics,excel,pivot tables,data visualization,kpi,reporting,cohort analysis,a/b testing"
"Business Intelligence Developer","power bi,tableau,looker,qlik,sql,dbt,star schema,dimensional modeling,etl,data warehouse,kpi,dashboard,reporting,dax,measures"
"BI Analyst","power bi,tableau,looker,sql,excel,kpi,dashboard,data visualization,ad hoc analysis,reporting,business requirements,stakeholder,presentation"
"Analytics Engineer","dbt,sql,bigquery,snowflake,redshift,databricks,python,airflow,data modeling,star schema,data quality,data catalog,documentation"
"Financial Data Analyst","sql,python,excel,tableau,power bi,financial modeling,bloomberg,capital iq,dcf,valuation,financial statements,reporting,fp&a"
"Product Analyst","sql,python,amplitude,mixpanel,segment,google analytics,a/b testing,cohort analysis,funnel analysis,retention,churn,engagement,product metrics"
"Quantitative Analyst","python,r,c++,numpy,pandas,scipy,statistics,time series,monte carlo,stochastic calculus,options pricing,risk management,backtesting,bloomberg"
"Risk Analyst","risk management,var,cvar,monte carlo,stress testing,scenario analysis,excel,python,r,regulatory,basel,solvency,credit risk,market risk,operational risk"
"Credit Analyst","credit analysis,financial statements,credit risk,dcf,ratio analysis,bloomberg,excel,covenant,underwriting,portfolio,credit rating,moody's,s&p"
"Financial Analyst","excel,financial modeling,dcf,lbo,valuation,bloomberg,capital iq,comparable analysis,equity research,capital markets,financial statements,ratio analysis"
"Investment Banker","m&a,ipo,lbo,valuation,financial modeling,pitch book,due diligence,capital markets,equity,debt,bloomberg,excel,vba"
"Investment Analyst","equity research,financial modeling,dcf,valuation,bloomberg,capital iq,portfolio,buy side,sell side,industry analysis,financial statements"
"Portfolio Manager","portfolio management,asset allocation,risk management,bloomberg,performance attribution,factor model,equity,fixed income,derivatives,hedge fund"
"Equity Research Analyst","equity research,financial modeling,dcf,comparable company,earnings,revenue model,industry analysis,bloomberg,capital iq,initiation,target price"
"Fixed Income Analyst","fixed income,bonds,yield,duration,credit analysis,interest rate,dcf,bloomberg,rates,credit risk,treasury,sovereign,corporate bonds"
"Quantitative Researcher","quantitative research,statistics,python,r,c++,machine learning,alpha,factor model,time series,signal,backtesting,bloomberg,kdb"
"Risk Manager","risk management,var,cvar,monte carlo,stress testing,basel,solvency ii,credit risk,market risk,operational risk,python,r,excel,regulatory"
"Trader","trading,market making,arbitrage,execution,order management,bloomberg,oms,fix protocol,python,risk management,pnl,position management"
"Hedge Fund Analyst","hedge fund,long short,fundamental analysis,financial modeling,dcf,bloomberg,bloomberg terminal,capital iq,pitchbook,due diligence,portfolio"
"Private Equity Analyst","private equity,lbo,financial modeling,due diligence,valuation,portfolio company,capital markets,deal flow,bloomberg,excel,vba"
"Venture Capital Analyst","venture capital,startup,deal sourcing,due diligence,financial modeling,market sizing,term sheet,cap table,valuation,portfolio,pitch"
"Financial Controller","financial reporting,gaap,ifrs,consolidation,month end close,audit,internal controls,sox,erp,sap,oracle,excel,budget,variance analysis"
"CFO","financial strategy,fundraising,investor relations,board,budget,forecasting,treasury,m&a,capital structure,erp,gaap,ifrs,audit,financial reporting"
"Treasury Analyst","treasury,cash management,liquidity,fx hedging,derivatives,bank relationships,erp,sap,oracle,debt management,interest rate risk,excel"
"Tax Analyst","tax,corporate tax,income tax,deferred tax,transfer pricing,vat,gst,tax compliance,tax provision,excel,onesource,corptax,bloomberg"
"Actuary","actuarial science,pricing,reserving,r,python,sas,excel,statistical modeling,glm,risk,capital,solvency,ifrs 17,mortality,morbidity"
"Accountant","accounting,gaap,ifrs,financial statements,bookkeeping,tax,auditing,payroll,excel,quickbooks,sap,netsuite,general ledger,reconciliation"
"CPA","cpa,accounting,gaap,ifrs,tax,audit,financial statements,internal controls,sox,erp,excel,forensic accounting,transfer pricing"
"Audit Manager","audit,internal audit,sox,risk based audit,internal controls,financial reporting,regulatory,gaap,erp,data analytics,cisa,cia"
"Forensic Accountant","forensic accounting,fraud investigation,litigation support,financial statements,excel,data analytics,gaap,cpa,cfe,expert witness"
"Financial Planner","financial planning,cfp,investment advice,retirement planning,tax planning,insurance,estate planning,portfolio,client relationship,excel"
"Insurance Underwriter","underwriting,insurance,risk assessment,actuarial,policy,premium,claims,property casualty,life insurance,reinsurance,excel"
"Claims Adjuster","claims,insurance,investigation,settlement,property damage,liability,medical,documentation,negotiation,salvage,subrogation"
"Marketing Director","marketing strategy,brand management,seo,sem,campaigns,digital marketing,content marketing,social media,google analytics,hubspot,salesforce,roi"
"CMO","marketing strategy,brand,growth,demand generation,product marketing,digital marketing,budget,board,investor,team leadership,go-to-market,revenue"
"Digital Marketing Manager","google ads,facebook ads,meta ads,sem,ppc,email marketing,hubspot,marketo,salesforce,google analytics,attribution,roas,cac,ltv"
"SEO Specialist","seo,on-page seo,off-page seo,technical seo,keyword research,google analytics,google search console,semrush,ahrefs,content marketing,link building,core web vitals"
"SEM Specialist","sem,google ads,microsoft ads,ppc,search advertising,display,remarketing,shopping ads,performance max,bidding strategy,quality score,roas,conversion tracking"
"Content Marketing Manager","content strategy,blog,seo,editorial calendar,copywriting,content creation,hubspot,wordpress,email marketing,social media,analytics,lead generation"
"Email Marketing Specialist","email marketing,hubspot,klaviyo,mailchimp,marketo,automation,segmentation,personalization,deliverability,a/b testing,html,css,flows,campaigns"
"Performance Marketing Manager","performance marketing,google ads,facebook ads,meta ads,programmatic,display,retargeting,attribution,roas,cac,cpa,ltv,a/b testing,analytics"
"Growth Marketing Manager","growth marketing,a/b testing,funnel optimization,cro,acquisition,activation,retention,referral,lifecycle marketing,email,push,sms,amplitude,sql"
"Brand Manager","brand management,brand strategy,brand identity,campaigns,market research,consumer insights,positioning,competitive analysis,p&l,portfolio management"
"Marketing Analyst","google analytics,ga4,facebook ads,google ads,sql,python,excel,tableau,attribution,roas,cohort analysis,a/b testing,marketing mix modeling"
"PR Manager","public relations,media relations,press release,crisis communications,media coverage,brand reputation,social media,storytelling,executive communications"
"Influencer Marketing Manager","influencer marketing,instagram,tiktok,youtube,creator,ugc,brand partnership,campaign management,analytics,negotiation,contract,roi"
"Affiliate Marketing Manager","affiliate marketing,commission junction,impact,shareasale,rakuten,publishers,advertisers,tracking,attribution,fraud,network,roi,cpa"
"Product Marketing Manager","product marketing,go-to-market,positioning,messaging,competitive analysis,sales enablement,launch,analyst relations,customer insights,demand generation"
"Community Manager","community management,discord,reddit,twitter,facebook groups,moderation,engagement,events,forums,user generated content,nps,ambassador"
"CRM Manager","crm,salesforce,hubspot,customer segmentation,lifecycle marketing,email,automation,retention,loyalty,churn,ltv,personalization,data"
"Marketing Operations Manager","marketing operations,hubspot,marketo,salesforce,attribution,martech,data quality,automation,reporting,analytics,campaign management"
"Sales Director","sales strategy,revenue,quota,team leadership,enterprise sales,pipeline management,crm,salesforce,forecasting,hiring,coaching,executive selling"
"Account Executive","sales,enterprise sales,solution selling,discovery,demo,negotiation,closing,crm,salesforce,quota,pipeline,forecasting,contract"
"Sales Development Representative","sdr,outbound,cold outreach,lead generation,prospecting,linkedin,email,cold calling,crm,salesforce,hubspot,sequence,quota,pipeline"
"Sales Engineer","presales,technical sales,demo,solution selling,proof of concept,rfp,api,integration,crm,salesforce,technical documentation,saas"
"Customer Success Manager","customer success,account management,onboarding,renewal,churn,retention,nrr,saas,crm,salesforce,gainsight,zendesk,qbr,nps,csat"
"Business Development Manager","business development,partnerships,sales,crm,salesforce,hubspot,lead generation,negotiation,revenue growth,account management,enterprise"
"Channel Sales Manager","channel sales,partner management,partner program,indirect sales,reseller,vad,distributor,enablement,deal registration,mrdf,mdf,crm"
"Inside Sales Representative","inside sales,cold calling,email,crm,salesforce,hubspot,pipeline,quota,lead qualification,demo,product knowledge"
"Key Account Manager","key account,account management,crm,salesforce,executive relationship,retention,upsell,cross sell,qbr,contract negotiation,forecasting"
"Revenue Operations Manager","revenue operations,revops,crm,salesforce,hubspot,attribution,forecasting,pipeline,reporting,automation,marketing operations,sales operations"
"VP of Sales","sales leadership,revenue,quota,hiring,team building,sales strategy,enterprise sales,crm,salesforce,forecasting,board,investor,go-to-market"
"HR Manager","recruitment,talent acquisition,onboarding,performance management,compensation,benefits,payroll,hris,workday,employee relations,dei,learning development"
"Recruiter","recruitment,talent acquisition,sourcing,linkedin,candidate assessment,interview,offer,ats,greenhouse,lever,workday,pipeline,jd writing"
"Technical Recruiter","technical recruitment,software engineer,developer,sourcing,linkedin,github,technical assessment,hackerrank,codesignal,ats,pipeline,diversity"
"Compensation & Benefits Specialist","compensation,benefits,salary benchmarking,job grading,equity,stock options,total rewards,survey,mercer,willis towers watson,hris,workday"
"HR Business Partner","hrbp,hr business partner,employee relations,performance management,succession planning,workforce planning,organizational development,change management"
"Learning & Development Manager","learning development,training,lms,instructional design,e-learning,leadership development,competency,onboarding,coaching,facilitation"
"HRIS Analyst","hris,workday,successfactors,bamboohr,adp,data analysis,reporting,system configuration,integration,process improvement,excel"
"Talent Acquisition Manager","talent acquisition,recruitment,sourcing,employer brand,candidate experience,ats,greenhouse,workday,diversity,pipeline,metrics,reporting"
"HR Operations Manager","hr operations,hris,workday,process improvement,compliance,employment law,payroll,onboarding,offboarding,policy,procedure,reporting"
"Chief People Officer","people strategy,culture,employer brand,talent acquisition,learning development,compensation,dei,organizational design,board,executive"
"Customer Service Manager","customer service,team management,kpi,sla,zendesk,salesforce,crm,nps,csat,fcr,quality assurance,coaching,training,escalation"
"Customer Support Specialist","customer support,zendesk,intercom,freshdesk,crm,ticket management,email,chat,phone,troubleshooting,escalation,product knowledge"
"Technical Support Engineer","technical support,troubleshooting,sql,api,rest api,log analysis,linux,bash,networking,crm,zendesk,jira,escalation,documentation"
"Help Desk Technician","helpdesk,windows,active directory,office 365,ticketing,jira,servicenow,troubleshooting,hardware,software,networking,remote support"
"Call Center Manager","call center,contact center,kpi,sla,aht,csat,fcr,workforce management,scheduling,quality assurance,coaching,crm,five9,genesys"
"Operations Support Specialist","operations,process improvement,sop,documentation,data entry,excel,crm,erp,reporting,coordination,stakeholder management"
"Physician","diagnosis,treatment,clinical medicine,internal medicine,ehr,epic,cerner,icd,cpt,patient care,pharmacology,evidence based medicine,differential diagnosis"
"Surgeon","surgery,laparoscopic,robotic surgery,anatomy,perioperative,patient care,icu,critical care,complications,wound care,sterility,operating room"
