Job_Title,Category,Domain,Job_Description,Skills,Keywords,Domain_Signals,Sample_Resume
Systems Administrator,Systems Administrator,General,systems administrator skills experience responsibilities and industry knowledge,linux windows server active directory bash powershell networking dns dhcp vmware ansible monitoring nagios,"linux,windows server,active directory,bash,powershell,networking,dns,dhcp,vmware,ansible,monitoring,nagios,sysadmin","docker, kubernetes, k8s, helm, ci/cd, ci cd, jenkins, github actions, gitlab ci, circleci, argocd, terraform, ansible, puppet, chef, linux, bash, shell scripting, aws, gcp, azure, cloudformation, cdk, pulumi, nginx, haproxy, prometheus, grafana, datadog, new relic, splunk, elk stack, elasticsearch, logstash, kibana, infrastructure as code, iac, gitops, devops, platform engineering, sre, site reliability, on-call, incident management, postmortem, chaos engineering, load balancing, auto scaling, high availability, disaster recovery",experienced professional with skills in systems administrator related tools technologies and responsibilities
Network Engineer,Network Engineer,General,network engineer skills experience responsibilities and industry knowledge,cisco juniper bgp ospf mpls vlan firewalls vpn network monitoring wireshark python netconf,"cisco,juniper,bgp,ospf,mpls,vlan,firewalls,vpn,wireshark,python,netconf,networking,routing,switching","node.js, nodejs, express.js, expressjs, nestjs, fastapi, django, flask, spring boot, spring, laravel, rails, ruby on rails, asp.net, .net, go, golang, rust, kotlin, java, python, ruby, php, c#, rest api, restful api, graphql, grpc, websocket, socket.io, microservices, message queue, rabbitmq, apache kafka, redis, celery, api design, swagger, openapi, oauth2, jwt, authentication, authorization, rate limiting, pagination, webhook, event driven, serverless",experienced professional with skills in network engineer related tools technologies and responsibilities
Database Administrator,Database Administrator,Database Management,"Manage enterprise databases across PostgreSQL, MySQL, and Oracle. Implement replication, clustering, backup, query tuning, and AWS RDS cloud management.",postgresql mysql oracle sql server indexing query optimization replication backup performance tuning,"postgresql,mysql,oracle,sql server,aurora,indexing,query optimization,replication,partitioning,sharding,backup,pitr,connection pooling,performance tuning,stored procedure,dba","postgresql, mysql, mongodb, sqlite, mariadb, oracle, sql server, mssql, dynamodb, cassandra, elasticsearch, redis, firebase, supabase, cockroachdb, bigquery, snowflake, redshift, aurora, prisma, typeorm, sequelize, mongoose, drizzle, sqlalchemy, hibernate, indexing, query optimization, database design, schema design, normalization, replication, sharding, partitioning, backup, migration, flyway, liquibase","DBA with PostgreSQL, MySQL, Oracle, MongoDB, Redis, query optimisation, replication, clustering, and AWS RDS expertise."
QA Automation Engineer,QA Automation Engineer,Software Quality Assurance,"Build automated test frameworks with Selenium, Cypress, and Playwright. Implement BDD/Cucumber, integrate into CI/CD, and conduct API and performance testing.",selenium playwright cypress appium pytest junit rest assured k6 bdd cucumber ci/cd api testing,"selenium,playwright,cypress,appium,pytest,junit,testng,rest assured,k6,jmeter,bdd,cucumber,ci/cd,jenkins,page object model,api testing,mobile testing","selenium,pytest,cypress,playwright,testng,rest assured,bdd,cucumber,jmeter,robot framework","QA Automation Engineer with Selenium, Cypress, Playwright, pytest, BDD/Cucumber, REST Assured, Jenkins CI/CD, and JMeter expertise."
Manual Tester,Manual Tester,General,manual tester skills experience responsibilities and industry knowledge,test cases test planning jira selenium postman api testing regression testing agile bug tracking documentation,"test cases,test planning,jira,selenium,postman,api testing,regression testing,agile,bug tracking,qa,testing,documentation","node.js, nodejs, express.js, expressjs, nestjs, fastapi, django, flask, spring boot, spring, laravel, rails, ruby on rails, asp.net, .net, go, golang, rust, kotlin, java, python, ruby, php, c#, rest api, restful api, graphql, grpc, websocket, socket.io, microservices, message queue, rabbitmq, apache kafka, redis, celery, api design, swagger, openapi, oauth2, jwt, authentication, authorization, rate limiting, pagination, webhook, event driven, serverless",experienced professional with skills in manual tester related tools technologies and responsibilities
Security Analyst,Security Analyst,Cybersecurity,security analyst skills experience responsibilities and industry knowledge,siem splunk wireshark nmap vulnerability scanning owasp iso 27001 incident response threat intelligence,"siem,splunk,wireshark,nmap,vulnerability scanning,owasp,iso 27001,incident response,threat intelligence,cybersecurity","penetration testing, pen testing, kali linux, metasploit, burp suite, nmap, owasp, owasp top 10, vulnerability assessment, vulnerability scanning, nessus, siem, soc, incident response, threat hunting, malware analysis, reverse engineering, forensics, digital forensics, encryption, pki, ssl/tls, zero trust, devsecops, sast, dast, container security, cloud security, iam, identity management, mfa, oauth, red team, blue team, ctf, bug bounty, cve, iso 27001, nist, soc2, gdpr, compliance",experienced professional with skills in security analyst related tools technologies and responsibilities
Ethical Hacker,Ethical Hacker,Cybersecurity,"Perform red team engagements, exploit development, social engineering, and reverse engineering to uncover and remediate critical vulnerabilities.",penetration testing kali linux metasploit burp suite nmap wireless social engineering red team ctf,"penetration testing,kali linux,metasploit,burp suite,nmap,wireless,social engineering,phishing,exploit,red team,ctf","kali linux,metasploit,burp suite,owasp,ceh,oscp,red teaming,exploit development,reverse engineering","Ethical Hacker (CEH/OSCP) with Kali Linux, Metasploit, Burp Suite, red teaming, exploit development, and reverse engineering skills."
Penetration Tester,Penetration Tester,Cybersecurity,"Conduct authorised penetration tests on web apps and networks. Use Metasploit, Burp Suite, and custom exploits, delivering detailed remediation reports.",kali linux nmap metasploit burp suite owasp red team exploit active directory bug bounty,"kali linux,nmap,metasploit,burp suite,hashcat,mimikatz,bloodhound,owasp top 10,sql injection,xss,red team,exploit,post exploitation,active directory,cve,bug bounty","penetration testing, pen testing, kali linux, metasploit, burp suite, nmap, owasp, owasp top 10, vulnerability assessment, vulnerability scanning, nessus, siem, soc, incident response, threat hunting, malware analysis, reverse engineering, forensics, digital forensics, encryption, pki, ssl/tls, zero trust, devsecops, sast, dast, container security, cloud security, iam, identity management, mfa, oauth, red team, blue team, ctf, bug bounty, cve, iso 27001, nist, soc2, gdpr, compliance","Penetration Tester with Kali Linux, Metasploit, Burp Suite, Nmap, OWASP Top 10, red team, and social engineering expertise."
Security Architect,Security Architect,Cybersecurity,"Design enterprise zero-trust security architecture, cloud security posture, PKI infrastructure, and lead ISO 27001/SOC2 compliance programmes.",zero trust iam pki ssl/tls encryption firewall waf siem sso saml oauth2 threat modeling,"zero trust,iam,pki,ssl/tls,encryption,firewall,waf,siem,identity management,sso,saml,oauth2,mfa,devsecops,threat modeling,nist,iso 27001,risk management","zero trust,cloud security,iam,pki,encryption,tls,secure sdlc,threat modelling,iso 27001,nist,soc2","Security Architect with expertise in zero trust, cloud security, IAM, PKI, encryption, ISO 27001, NIST, and SOC2 compliance."
Cryptographer,Cryptographer,Cybersecurity,cryptographer skills experience responsibilities and industry knowledge,cryptography aes rsa elliptic curve blockchain zero knowledge proofs python mathematics security protocols,"cryptography,aes,rsa,elliptic curve,blockchain,zero knowledge,python,mathematics,security protocols,encryption","penetration testing, pen testing, kali linux, metasploit, burp suite, nmap, owasp, owasp top 10, vulnerability assessment, vulnerability scanning, nessus, siem, soc, incident response, threat hunting, malware analysis, reverse engineering, forensics, digital forensics, encryption, pki, ssl/tls, zero trust, devsecops, sast, dast, container security, cloud security, iam, identity management, mfa, oauth, red team, blue team, ctf, bug bounty, cve, iso 27001, nist, soc2, gdpr, compliance",experienced professional with skills in cryptographer related tools technologies and responsibilities
Incident Responder,Incident Responder,General,incident responder skills experience responsibilities and industry knowledge,incident response forensics containment eradication recovery siem splunk threat hunting ioc playbook,"incident response,forensics,containment,eradication,recovery,siem,splunk,threat hunting,ioc,playbook,report,python,bash",,experienced professional with skills in incident responder related tools technologies and responsibilities
