"Job_Title","Skills"
"Data Scientist","python pandas numpy sklearn matplotlib tableau power bi sql machine learning xgboost statistical analysis"
"Machine Learning Engineer","python pytorch tensorflow huggingface transformers mlflow wandb docker kubernetes model deployment"
"Deep Learning Engineer","pytorch tensorflow cuda gpu cnn transformer attention distributed training mixed precision"
"NLP Engineer","nlp pytorch huggingface transformers bert spacy text classification sentiment analysis rag embeddings"
"Computer Vision Engineer","opencv pytorch yolo image classification object detection semantic segmentation stable diffusion clip"
"Data Engineer","apache spark pyspark kafka airflow dbt sql bigquery snowflake databricks delta lake etl streaming"
"MLOps Engineer","mlflow kubeflow sagemaker docker kubernetes terraform github actions model serving monitoring"
"AI Research Scientist","pytorch jax huggingface llm fine tuning rlhf alignment deep learning nlp distributed training"
"Data Architect","data modeling star schema data warehouse data lake data governance dbt sql bigquery snowflake"
"Big Data Developer","apache spark pyspark hadoop hive kafka flink bigquery scala data pipeline etl streaming"
"BI Developer","power bi tableau looker sql dbt star schema data warehouse kpi dashboard reporting"
"Data Product Manager","data product roadmap sql analytics stakeholder management okr kpi data governance"
"AI Product Manager","ai product llm generative ai product strategy roadmap user research responsible ai"
"DevOps Engineer","docker kubernetes helm terraform ansible jenkins github actions aws linux prometheus grafana ci/cd"
"Cloud Architect","aws azure gcp terraform serverless kubernetes docker vpc iam well-architected cost optimization"
"AWS Cloud Engineer","aws ec2 s3 rds lambda ecs eks cloudformation vpc iam cloudfront route53 terraform"
"GCP Cloud Engineer","gcp compute engine cloud storage cloud run gke bigquery pubsub cloud sql vpc iam terraform"
"Azure Cloud Engineer","azure virtual machines blob storage azure functions aks azure devops arm templates azure ad terraform"
"Site Reliability Engineer","kubernetes prometheus grafana slo sla distributed tracing opentelemetry python go terraform"
"Platform Engineer","kubernetes terraform helm argocd backstage internal developer platform ci/cd prometheus vault"
"Infrastructure Engineer","terraform ansible linux aws kubernetes docker bash python networking dns ssl load balancer"
"Cloud Security Engineer","aws security iam rbac cspm container security trivy snyk opa devsecops soc2 vault"
"DevSecOps Engineer","devsecops sast dast sonarqube snyk trivy opa kubernetes security sbom vault"
"Kubernetes Engineer","kubernetes helm kustomize istio service mesh operator rbac network policy prometheus grafana"
"Terraform Engineer","terraform hcl aws gcp azure modules state management terraform cloud terragrunt infrastructure as code"
"Database Administrator","postgresql mysql oracle sql server indexing query optimization replication backup performance tuning"
"PostgreSQL DBA","postgresql psql explain analyze indexing replication pgbouncer high availability pgbackrest vacuum"
"MongoDB DBA","mongodb replica set sharding aggregation pipeline indexing atlas backup performance"
"Redis Engineer","redis cluster pub/sub lua scripting caching session rate limiting geospatial streams"
"Elasticsearch Engineer","elasticsearch kibana logstash index mapping query dsl aggregation snapshot cluster management"
"Cassandra Engineer","cassandra cql partition key replication consistency compaction performance datastax"
"Cybersecurity Analyst","siem splunk vulnerability scanning nessus incident response threat hunting owasp iso 27001 nist"
"Penetration Tester","kali linux nmap metasploit burp suite owasp red team exploit active directory bug bounty"
"Security Architect","zero trust iam pki ssl/tls encryption firewall waf siem sso saml oauth2 threat modeling"
"Security Operations Center Analyst","soc siem splunk threat intelligence ioc mitre att&ck incident response malware analysis forensics"
"Application Security Engineer","appsec sast dast owasp sql injection xss secure sdlc threat modeling penetration testing"
"Digital Forensics Analyst","digital forensics memory forensics disk imaging encase ftk autopsy volatility malware analysis"
"GRC Analyst","governance risk compliance iso 27001 soc2 nist gdpr hipaa risk assessment audit policy"
"Threat Intelligence Analyst","threat intelligence cti ioc ttp mitre att&ck osint malware analysis threat actor reporting"
"IAM Engineer","iam okta azure ad sso saml oauth2 openid connect mfa pam rbac ldap scim"
"Cloud Security Architect","cloud security architecture aws security zero trust iam cspm devsecops soc2 fedramp"
"QA Automation Engineer","selenium playwright cypress appium pytest junit rest assured k6 bdd cucumber ci/cd api testing"
"QA Engineer","manual testing test cases test plan bug tracking jira exploratory testing regression uat postman"
"Performance Engineer","jmeter gatling k6 load testing stress testing apm new relic profiling scalability benchmarking"
"Test Lead","test strategy test planning team leadership qa process test automation metrics agile scrum"
"SDET","sdet automation java python selenium rest assured junit ci/cd api testing code review"
"Embedded Systems Engineer","c c++ rtos freertos arm cortex stm32 esp32 uart spi i2c embedded linux yocto firmware"
"Firmware Engineer","c c++ firmware bare metal rtos bootloader device driver uart spi i2c linux kernel yocto ota"
"FPGA Engineer","vhdl verilog systemverilog fpga xilinx vivado quartus timing analysis simulation rtl synthesis"
"Hardware Engineer","circuit design pcb altium kicad spice oscilloscope power electronics analog design signal integrity"
"IoT Engineer","iot mqtt lorawan ble zigbee matter aws iot azure iot embedded rtos python edge computing"
"VLSI Engineer","vlsi digital design verilog systemverilog asic synthesis place and route timing dft uvm cadence"
"UI/UX Designer","figma sketch wireframing prototyping user research usability testing design thinking wcag design system"
"Product Designer","product design ux ui figma wireframing prototyping user research design system accessibility"
"UX Researcher","user research usability testing contextual inquiry interviews surveys persona journey mapping synthesis"
"UX Writer","ux writing content design microcopy information architecture style guide voice and tone figma"
"Interaction Designer","interaction design hci wireframing prototyping user flow animation micro interaction accessibility figma"
"Visual Designer","visual design brand identity typography color theory layout figma adobe suite motion graphics illustration"
"Motion Designer","motion design after effects cinema 4d blender lottie animation storyboard compositing video"
"Brand Designer","brand identity logo design typography adobe illustrator photoshop brand strategy brand guidelines"
"Blockchain Developer","solidity ethereum smart contract web3 ethers.js hardhat defi nft erc20 openzeppelin layer 2 chainlink"
"Smart Contract Auditor","solidity smart contract security audit reentrancy flash loan slither mythril formal verification"
"DeFi Developer","defi solidity ethereum uniswap aave compound yield farming liquidity amm flash loan layer 2"
"Web3 Developer","web3 solidity ethers.js ipfs the graph hardhat wagmi next.js typescript smart contract dao"
"AR/VR Developer","unity unreal engine openxr meta quest spatial computing c# shaders hand tracking webxr arkit"
"Game Developer","unity unreal engine c# c++ game mechanics physics animation shader multiplayer networking"
"Game Designer","unity unreal game mechanics level design player experience narrative design gdd user testing"
"3D Artist","blender maya 3ds max zbrush substance painter uv mapping texturing rigging animation rendering"
"Technical Artist","unity unreal shaders hlsl vfx particle systems rigging python houdini performance optimization"
"Prompt Engineer","prompt engineering langchain openai api gpt-4 rag embeddings vector database function calling agents"
"LLM Engineer","llm fine tuning lora rlhf pytorch huggingface langchain rag vector database evaluation"
"AI Engineer","llm generative ai langchain openai api rag embeddings python pytorch fastapi docker agents"
"Generative AI Engineer","stable diffusion diffusion models gan vae comfyui controlnet lora training huggingface pytorch clip"
"AI Safety Researcher","ai safety alignment interpretability rlhf constitutional ai evaluation probing llm pytorch"
"Product Manager","product strategy roadmap user stories backlog okr kpi a/b testing go-to-market agile prd figma sql"
"Technical Product Manager","product management technical requirements api system design sql data analysis roadmap agile jira"
"Product Owner","product owner backlog user stories acceptance criteria sprint planning agile scrum prioritization jira"
"Scrum Master","scrum sprint planning retrospective backlog refinement agile coaching jira safe scaled agile"
"Agile Coach","agile scrum kanban safe coaching facilitation organizational transformation continuous improvement lean"
"Project Manager","pmp agile scrum waterfall risk management budget stakeholder management jira gantt milestone"
"Program Manager","program management portfolio roadmap risk management stakeholder management budget executive communication"
"Business Analyst","requirements gathering uml bpmn use cases gap analysis sql tableau power bi stakeholder management uat"
"Systems Analyst","systems analysis requirements uml data flow diagram sql integration api uat documentation"
"Technical Project Manager","technical project management engineering architecture risk management agile scrum jira delivery"
"Technical Writer","documentation api docs swagger openapi markdown confluence github user guides style guide docs as code"
"Solutions Architect","solution design system architecture aws microservices api design event driven kafka terraform scalability"
"Enterprise Architect","enterprise architecture togaf zachman business application data technology architecture roadmap strategy"
"Integration Architect","integration api rest soap graphql esb mulesoft kafka rabbitmq event driven middleware microservices"
"Data Solutions Architect","data architecture data warehouse data lake databricks snowflake bigquery dbt data governance metadata"
"Data Analyst","sql python pandas tableau power bi google analytics excel data visualization kpi reporting cohort analysis"
"Business Intelligence Developer","power bi tableau looker sql dbt star schema data warehouse kpi dashboard dax measures"
"BI Analyst","power bi tableau sql excel kpi dashboard data visualization ad hoc analysis reporting stakeholder"
"Analytics Engineer","dbt sql bigquery snowflake databricks python airflow data modeling star schema data quality documentation"
"Financial Data Analyst","sql python excel tableau financial modeling bloomberg dcf valuation financial statements fp&a"
"Product Analyst","sql python amplitude mixpanel a/b testing cohort analysis funnel analysis retention product metrics"
"Quantitative Analyst","python r c++ numpy scipy statistics time series monte carlo options pricing risk management backtesting"
"Risk Analyst","risk management var cvar monte carlo stress testing excel python regulatory basel credit risk market risk"
"Credit Analyst","credit analysis financial statements credit risk dcf ratio analysis bloomberg excel underwriting"
"Financial Analyst","excel financial modeling dcf lbo valuation bloomberg capital iq equity research financial statements"
"Investment Banker","m&a ipo lbo valuation financial modeling pitch book due diligence capital markets bloomberg excel vba"
"Investment Analyst","equity research financial modeling dcf valuation bloomberg portfolio buy side sell side industry analysis"
"Portfolio Manager","portfolio management asset allocation risk management bloomberg performance attribution equity fixed income"
"Equity Research Analyst","equity research financial modeling dcf comparable company earnings industry analysis bloomberg target price"
"Fixed Income Analyst","fixed income bonds yield duration credit analysis interest rate bloomberg rates credit risk treasury"
"Quantitative Researcher","quantitative research statistics python r c++ machine learning alpha factor model backtesting bloomberg"
"Risk Manager","risk management var cvar monte carlo stress testing basel credit risk market risk python excel"
"Trader","trading market making arbitrage execution bloomberg oms fix protocol python risk management pnl"
"Hedge Fund Analyst","hedge fund long short fundamental analysis financial modeling bloomberg capital iq due diligence"
"Private Equity Analyst","private equity lbo financial modeling due diligence valuation portfolio company capital markets bloomberg"
"Venture Capital Analyst","venture capital startup deal sourcing due diligence financial modeling market sizing term sheet cap table"
"Financial Controller","financial reporting gaap ifrs consolidation month end close audit internal controls sox erp sap excel"
"CFO","financial strategy fundraising investor relations board budget treasury m&a capital structure gaap"
"Treasury Analyst","treasury cash management liquidity fx hedging derivatives bank relationships erp debt management excel"
"Tax Analyst","tax corporate tax income tax deferred tax transfer pricing vat gst tax compliance onesource"
"Actuary","actuarial science pricing reserving r python sas excel statistical modeling glm risk capital solvency"
"Accountant","accounting gaap ifrs financial statements bookkeeping tax auditing payroll excel quickbooks sap netsuite"
"CPA","cpa accounting gaap ifrs tax audit financial statements internal controls sox erp excel"
"Audit Manager","audit internal audit sox risk based audit internal controls financial reporting gaap erp cisa cia"
"Forensic Accountant","forensic accounting fraud investigation litigation support financial statements excel data analytics cpa cfe"
"Financial Planner","financial planning cfp investment advice retirement planning tax planning insurance estate planning portfolio"
"Insurance Underwriter","underwriting insurance risk assessment policy premium claims property casualty life insurance reinsurance"
"Claims Adjuster","claims insurance investigation settlement property damage liability medical documentation negotiation"
"Marketing Director","marketing strategy brand management seo sem campaigns digital marketing google analytics hubspot roi"
"CMO","marketing strategy brand growth demand generation product marketing budget board go-to-market revenue"
"Digital Marketing Manager","google ads facebook ads sem ppc email marketing hubspot google analytics attribution roas cac ltv"
"SEO Specialist","seo on-page off-page technical seo keyword research google analytics semrush ahrefs content marketing"
"SEM Specialist","sem google ads microsoft ads ppc search advertising remarketing performance max roas conversion tracking"
"Content Marketing Manager","content strategy blog seo editorial calendar copywriting hubspot wordpress email marketing analytics"
"Email Marketing Specialist","email marketing hubspot klaviyo mailchimp automation segmentation personalization deliverability a/b testing"
"Performance Marketing Manager","performance marketing google ads facebook ads programmatic attribution roas cac cpa a/b testing"
"Growth Marketing Manager","growth marketing a/b testing funnel optimization cro acquisition retention lifecycle marketing sql"
"Brand Manager","brand management brand strategy brand identity campaigns market research consumer insights positioning"
"Marketing Analyst","google analytics ga4 facebook ads sql python excel tableau attribution roas cohort analysis a/b testing"
"PR Manager","public relations media relations press release crisis communications brand reputation storytelling"
"Influencer Marketing Manager","influencer marketing instagram tiktok youtube creator ugc brand partnership campaign management roi"
"Affiliate Marketing Manager","affiliate marketing commission junction impact shareasale publishers advertisers tracking attribution roi"
"Product Marketing Manager","product marketing go-to-market positioning messaging competitive analysis sales enablement launch"
"Community Manager","community management discord reddit twitter moderation engagement events forums user generated content"
"CRM Manager","crm salesforce hubspot customer segmentation lifecycle marketing email automation retention loyalty"
"Marketing Operations Manager","marketing operations hubspot marketo salesforce attribution martech data quality automation reporting"
"Sales Director","sales strategy revenue quota team leadership enterprise sales pipeline crm salesforce forecasting hiring"
"Account Executive","sales enterprise solution selling discovery demo negotiation closing crm salesforce quota pipeline"
"Sales Development Representative","sdr outbound cold outreach lead generation prospecting linkedin email cold calling crm salesforce hubspot"
"Sales Engineer","presales technical sales demo solution selling proof of concept rfp api crm salesforce saas"
"Customer Success Manager","customer success account management onboarding renewal churn retention nrr saas gainsight qbr nps"
"Business Development Manager","business development partnerships sales crm salesforce lead generation negotiation revenue growth"
"Channel Sales Manager","channel sales partner management partner program indirect sales reseller enablement deal registration"
"Inside Sales Representative","inside sales cold calling email crm salesforce pipeline quota lead qualification demo"
"Key Account Manager","key account account management crm salesforce executive relationship retention upsell qbr contract"
"Revenue Operations Manager","revenue operations crm salesforce hubspot attribution forecasting pipeline reporting automation"
"VP of Sales","sales leadership revenue quota hiring team building sales strategy enterprise sales board investor"
"HR Manager","recruitment talent acquisition onboarding performance management compensation benefits payroll hris workday"
"Recruiter","recruitment talent acquisition sourcing linkedin candidate assessment interview ats greenhouse lever"
"Technical Recruiter","technical recruitment software engineer sourcing linkedin github technical assessment hackerrank ats"
"Compensation & Benefits Specialist","compensation benefits salary benchmarking job grading equity stock options total rewards hris workday"
"HR Business Partner","hrbp employee relations performance management succession planning workforce planning organizational development"
"Learning & Development Manager","learning development training lms instructional design e-learning leadership development coaching facilitation"
"HRIS Analyst","hris workday successfactors bamboohr adp data analysis reporting system configuration integration excel"
"Talent Acquisition Manager","talent acquisition recruitment sourcing employer brand candidate experience ats greenhouse diversity metrics"
"HR Operations Manager","hr operations hris workday process improvement compliance employment law payroll onboarding reporting"
"Chief People Officer","people strategy culture employer brand talent acquisition dei organizational design board executive"
"Customer Service Manager","customer service team management kpi sla zendesk salesforce crm nps csat coaching training"
"Customer Support Specialist","customer support zendesk intercom freshdesk crm ticket management email chat troubleshooting"
"Technical Support Engineer","technical support troubleshooting sql api log analysis linux bash networking crm zendesk jira"
"Help Desk Technician","helpdesk windows active directory office 365 ticketing jira servicenow troubleshooting networking"
"Call Center Manager","call center kpi sla aht csat workforce management quality assurance coaching crm five9 genesys"
"Operations Support Specialist","operations process improvement sop documentation data entry excel crm erp reporting coordination"
"Physician","diagnosis treatment clinical medicine ehr epic icd cpt patient care pharmacology differential diagnosis"
"Surgeon","surgery laparoscopic robotic surgery anatomy perioperative patient care icu critical care wound care"
"Cardiologist","cardiology ecg echocardiogram cardiac catheterization heart failure arrhythmia interventional stent"
"Neurologist","neurology mri ct eeg emg stroke seizure multiple sclerosis parkinson neuroimaging clinical trials"
"Oncologist","oncology chemotherapy radiation immunotherapy targeted therapy cancer staging clinical trials pathology"
"Psychiatrist","psychiatry dsm-5 psychopharmacology cbt dbt medication management inpatient mental health diagnosis"
"Radiologist","radiology mri ct ultrasound x-ray pacs ris reporting interpretation anatomy ai radiology"
"Anesthesiologist","anesthesia general anesthesia regional anesthesia airway management mechanical ventilation perioperative"
"Emergency Medicine Physician","emergency medicine trauma triage resuscitation acls atls intubation critical care ehr epic procedures"
"Family Medicine Physician","family medicine primary care preventive care chronic disease ehr epic patient panel referral"
"Pediatrician","pediatrics child health vaccination growth development ehr immunization well child visit nicu"
"Obstetrician Gynecologist","obstetrics gynecology prenatal labor delivery c-section ultrasound fetal monitoring ehr reproductive health"
"Orthopedic Surgeon","orthopedics joint replacement arthroscopy fracture sports medicine spine total knee rehabilitation"
"Dermatologist","dermatology skin biopsy mohs surgery laser acne psoriasis eczema melanoma phototherapy dermoscopy"
"Ophthalmologist","ophthalmology eye vision cataract glaucoma retina laser surgery lasik cornea oct slit lamp"
"Registered Nurse","nursing icu critical care medications patient care ehr epic vital signs assessment documentation acls bls"
"Nurse Practitioner","nurse practitioner diagnosis treatment prescribing primary care acute care ehr epic clinical assessment"
"Physician Assistant","physician assistant diagnosis treatment prescribing clinical assessment ehr epic surgery primary care"
"Clinical Nurse Specialist","clinical nurse specialist evidence based practice clinical leadership patient outcomes education research"
"Pharmacist","pharmacy dispensing medications pharmacokinetics drug interaction patient counseling ehr clinical pharmacy bcps"
"Physical Therapist","physical therapy musculoskeletal rehabilitation exercise therapy manual therapy injury prevention biomechanics"
"Occupational Therapist","occupational therapy activities of daily living rehabilitation sensory integration adaptive equipment"
"Speech Language Pathologist","speech language pathology communication disorders dysphagia articulation language development aac aphasia"
"Radiologic Technologist","radiologic technology x-ray ct mri fluoroscopy radiation safety patient positioning pacs arrt"
"Medical Laboratory Scientist","clinical laboratory hematology chemistry microbiology immunology molecular diagnostics pcr quality control lims"
"Respiratory Therapist","respiratory therapy mechanical ventilation intubation pulmonary function oxygen cpap bipap ards icu"
"Surgical Technologist","surgical tech sterile technique instrument surgical procedure scrub draping counting autoclave operating room"
"Medical Coder","medical coding icd-10 cpt hcpcs medical billing ehr epic compliance reimbursement cpc ccs"
"Clinical Research Coordinator","clinical research clinical trials irb gcp protocol informed consent data collection adverse event fda"
"Biostatistician","biostatistics r sas stata clinical trials survival analysis regression mixed models power analysis"
"Medical Writer","medical writing clinical study report regulatory submission fda ich guidelines scientific writing"
"Health Informatics Specialist","health informatics ehr epic hl7 fhir interoperability clinical data sql analytics healthcare it"
"Telemedicine Physician","telemedicine telehealth virtual care primary care diagnosis treatment ehr state licensure"
"Public Health Analyst","public health epidemiology biostatistics surveillance data analysis r stata community health health policy"
"Health Economist","health economics pharmacoeconomics cost effectiveness markov model qaly heor sas r reimbursement hta"
"Licensed Clinical Social Worker","social work lcsw therapy counseling case management assessment intervention mental health documentation"
"Marriage Family Therapist","marriage family therapy couples counseling family therapy cbt attachment gottman emdr trauma licensure"
"Substance Abuse Counselor","substance abuse addiction recovery cbt motivational interviewing 12 step detox group therapy case management"
"Behavioral Health Technician","behavioral health aba applied behavior analysis autism dbt skills crisis intervention documentation"
"Pharmaceutical Scientist","drug discovery medicinal chemistry pharmacology formulation preclinical in vitro assay development hts"
"Clinical Pharmacologist","clinical pharmacology pharmacokinetics pharmacodynamics clinical trials nda fda dose bioavailability"
"Regulatory Affairs Specialist","regulatory affairs fda ema ich 510k pma nda bla dossier submission compliance quality cmc"
"Quality Assurance Scientist","quality assurance gmp gcp glp iso 13485 validation sop capa deviation oos fda audit"
"Clinical Data Manager","clinical data management cdms medidata rave oracle clinical edc data validation coding meddra"
"Bioinformatician","bioinformatics python r perl ngs genomics transcriptomics variant calling blast bwa"
"Biomedical Engineer","matlab labview medical devices fda iec 62304 iso 14971 signal processing ecg biomechanics"
"Formulation Scientist","drug formulation solid dosage oral injectable excipient stability dissolution gmp doe"
"Process Development Scientist","process development upstream downstream cell culture bioreactor purification chromatography scale up gmp"
"Mechanical Engineer","solidworks catia autocad ansys matlab cad fea cfd tolerancing gd&t manufacturing cnc lean six sigma"
"Thermal Engineer","heat transfer cfd ansys fluent matlab thermodynamics thermal management cooling heat sink simulation"
"Manufacturing Engineer","manufacturing cnc lean manufacturing six sigma jig fixture solidworks quality gd&t process improvement"
"Product Design Engineer","solidworks catia product design cad fea tolerancing prototype testing material selection injection molding"
"Mechatronics Engineer","mechatronics embedded c matlab simulink plc scada motor control sensors pid control systems automation"
"HVAC Engineer","hvac cooling heating ventilation autocad revit mep chiller ahu heat exchanger energy simulation ashrae"
"Piping Engineer","piping p&id isometric stress analysis caesar ii autocad asme pressure vessel material selection valve"
"Reliability Engineer","reliability fmea fta weibull maintainability rcm root cause analysis sop kpi predictive maintenance"
"Civil Engineer","autocad revit civil 3d staad structural analysis soil mechanics geotechnical bim construction management leed"
"Structural Engineer","staad etabs sap2000 structural analysis steel concrete foundation seismic wind load cad drawing"
"Geotechnical Engineer","geotechnical soil mechanics foundation pile retaining wall slope stability settlement laboratory bore hole"
"Transportation Engineer","transportation traffic engineering highway design intersection traffic modeling vissim synchro autocad"
"Environmental Engineer","environmental engineering wastewater drinking water air quality solid waste remediation epa regulatory"
"Construction Manager","construction management project management scheduling primavera budget subcontractor rfi safety osha"
"Site Engineer","site supervision construction quality control rfi safety autocad surveying measurement inspection"
"Cost Estimator","cost estimation quantity surveying boq takeoff bid tender pricing excel planswift construction"
"BIM Manager","bim revit autocad navisworks coordination clash detection 4d bim ifc project management lod"
"Electrical Engineer","altium kicad pcb circuit simulation spice matlab power electronics plc scada fpga verilog control systems"
"Power Systems Engineer","power systems load flow fault analysis protection relay substation transmission distribution scada pss/e"
"Control Systems Engineer","control systems pid controller matlab simulink plc scada hmi automation ladder logic iec 61131 dcs"
"RF Engineer","rf radio frequency antenna microwave high frequency pcb matching network ads cst hfss spectrum analyzer"
"Power Electronics Engineer","power electronics converter inverter pwm mosfet igbt gate driver battery management ev solar energy storage"
"Instrumentation Engineer","instrumentation measurement sensors transmitters plc scada dcs calibration p&id fieldbus"
"Test Engineer","test engineering test equipment oscilloscope labview python automation characterization validation"
"Chemical Engineer","aspen plus hysys matlab process simulation thermodynamics heat transfer mass transfer hazop safety gmp"
"Process Engineer","process engineering p&id hazop aspen plus piping pressure vessel heat exchanger safety commissioning"
"Chemical Process Operator","process operations dcs scada p&id safety shift work sampling quality control maintenance hazardous materials"
"Polymer Scientist","polymer science synthesis characterization rheology extrusion injection molding gpc dsc tga formulation"
"Materials Scientist","materials science characterization sem tem xrd mechanical testing metallurgy composites failure analysis"
"Aerospace Engineer","cfd ansys fluent matlab flight dynamics structural analysis composite do-178 systems engineering stk"
"Systems Engineer","systems engineering mbse cameo sysml requirements architecture verification validation se process"
"Flight Test Engineer","flight test test planning data acquisition telemetry flight dynamics matlab python performance certification"
"Propulsion Engineer","propulsion turbomachinery combustion gas turbine rocket nozzle cfd ansys matlab thermodynamics testing"
"Environmental Scientist","gis arcgis environmental assessment field sampling ecology water quality contamination remediation"
"Environmental Consultant","environmental consulting eia phase i phase ii remediation permitting epa regulatory soil groundwater"
"Sustainability Manager","sustainability esg carbon footprint greenhouse gas ghg protocol lifecycle assessment iso 14001 net zero"
"Climate Scientist","climate modeling gcm python r netcdf gis atmospheric science oceanography remote sensing ipcc"
"Hydrologist","hydrology gis arcgis swmm hec-hms hec-ras groundwater field work water quality flood modeling"
"Operations Manager","operations management lean six sigma kaizen kpi budget erp sap quality process improvement"
"Supply Chain Manager","supply chain logistics erp sap demand planning s&op inventory procurement strategic sourcing 3pl lean"
"Procurement Manager","procurement strategic sourcing rfq rfp negotiation vendor management sap ariba cost reduction"
"Warehouse Manager","warehouse management wms inventory picking packing shipping kpi safety 5s lean erp sap forklift"
"Quality Manager","quality management iso 9001 iso 13485 gmp capa audit inspection spc six sigma lean fmea"
"Lean Engineer","lean manufacturing six sigma kaizen value stream mapping 5s kanban oee continuous improvement tpm"
"Industrial Engineer","industrial engineering lean six sigma time study ergonomics plant layout simulation process improvement"
"Plant Manager","plant management manufacturing operations lean safety budget workforce kpi erp quality production"
"Production Planner","production planning mrp erp sap demand forecasting inventory scheduling bill of materials supply chain"
"Maintenance Manager","maintenance management predictive preventive maintenance cmms sap pm reliability fmea rcm safety kpi"
"Teacher","lesson planning curriculum design assessment classroom management student engagement lms google classroom"
"University Professor","research teaching publications peer review grant writing curriculum development phd advising"
"School Principal","school leadership curriculum staff management student outcomes community engagement budget policy"
"Instructional Designer","instructional design e-learning lms articulate storyline captivate scorm blended learning"
"Education Technology Specialist","edtech lms canvas blackboard google classroom data analytics student outcomes training instructional design"
"School Counselor","school counseling college counseling social emotional learning college readiness crisis intervention 504 iep"
"Special Education Teacher","special education iep 504 plan differentiated instruction behavior management autism learning disability"
"ESL Teacher","esl english as second language tefl tesol language acquisition curriculum lesson planning ell"
"Tutor","tutoring academic support math science english reading writing sat act test prep"
"Academic Advisor","academic advising degree planning graduation requirements registration career counseling retention"
"Training Specialist","corporate training l&d lms facilitation instructional design e-learning needs assessment evaluation"
"Attorney","legal law litigation contracts corporate law intellectual property employment law compliance research trial"
"Corporate Lawyer","corporate law m&a securities governance transactions due diligence contracts compliance sec filings"
"Litigation Attorney","litigation civil trial arbitration mediation discovery deposition motion brief appellate expert witness"
"Employment Lawyer","employment law discrimination harassment wrongful termination wage hour flsa fmla ada title vii"
"Intellectual Property Attorney","intellectual property patent trademark copyright trade secret licensing prosecution litigation ip strategy"
"Compliance Officer","compliance regulatory risk management audit policy kyc aml gdpr hipaa sox training"
"Paralegal","legal research drafting filing discovery deposition contract review westlaw lexisnexis case management"
"Legal Counsel","legal counsel contracts negotiation corporate law intellectual property employment compliance regulatory"
"Contract Manager","contract management drafting negotiation review procurement vendor sow nda master service agreement"
"Data Privacy Lawyer","data privacy gdpr ccpa privacy law data protection dpia consent data breach regulatory cipp"
"Research Scientist","research experimental design data analysis python r matlab publications peer review grant writing"
"Biologist","biology cell culture molecular biology pcr western blot elisa microscopy flow cytometry data analysis"
"Biochemist","biochemistry protein enzyme assay western blot pcr mass spectrometry hplc cell culture molecular biology"
"Chemist","analytical chemistry synthesis hplc nmr mass spectrometry titration spectroscopy method development gmp"
"Physicist","physics quantum mechanics simulation matlab python data analysis optics laser experimental publications"
"Geologist","geology gis arcgis remote sensing field work sampling stratigraphy petrology mineralogy seismic"
